date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,year,month,normalized_open,normalized_close,volume_bin
2014-03-25,71.1162,71.6744,70.8654,71.5746,70573356,10081908,0.761722,1.076,73.7129,"Mar 25, 14",0.0375822133567983,2014,3,0.01986114827385194,0.022361745275696353,3.0
2014-03-26,71.7755,72.1012,70.7695,70.8903,74942224,10706032,-0.684238,-0.956,71.4402,"Mar 26, 14",0.027662248612321,2014,3,0.02395418873926527,0.01814627907950926,3.0
2014-03-27,70.9212,71.1162,70.2783,70.5856,55507676,7929668,-0.30469,-0.43,70.125,"Mar 27, 14",0.0232451607011093,2014,3,0.01865055690307135,0.01626924773364023,2.0
2014-03-28,70.6986,70.78,70.1641,70.5068,50141063,7163009,-0.0788,-0.112,70.5193,"Mar 28, 14",0.0221028353732344,2014,3,0.017268620292118786,0.01578381921360582,2.0
2014-03-31,70.8181,71.0256,70.3847,70.4911,42167188,6023884,-0.015758,-0.022,70.6164,"Mar 31, 14",0.0218752400985183,2014,3,0.018010495516776623,0.015687103125223364,1.0
2014-04-01,70.625,71.1648,70.495,71.1359,50189685,7169955,0.644839,0.915,70.8293,"Apr 1, 14",0.0312225925276267,2014,4,0.016811699651660086,0.019659239035352577,2.0
2014-04-02,71.2318,71.3763,70.9534,71.2541,44792195,6398885,0.118198,0.166,71.1644,"Apr 2, 14",0.0329360805194389,2014,4,0.020578811671094155,0.020387381815404098,1.0
2014-04-03,71.1018,71.2475,70.6093,70.7603,40648111,5806873,-0.493807,-0.693,70.9206,"Apr 3, 14",0.0257777017516138,2014,4,0.019771750757240397,0.017345445226660663,1.0
2014-04-04,70.8943,70.9192,69.6821,69.8449,68812485,9830355,-0.915383,-1.294,70.0967,"Apr 4, 14",0.0125075925493714,2014,4,0.018483557375512407,0.011706342850524985,3.0
2014-04-07,69.3459,69.7241,68.5408,68.7483,72462530,10351790,-1.0966,-1.57,68.9934,"Apr 7, 14",-0.0033892850464106,2014,4,0.008870841075427285,0.004951001288726516,3.0
2014-04-08,68.9742,69.0963,68.1219,68.7444,60971883,8710269,-0.003941,-0.006,68.6783,"Apr 8, 14",-0.0034458214522318,2014,4,0.006563267677893265,0.004926976273141047,2.0
2014-04-09,68.6393,69.6703,68.5579,69.6479,51542722,7363246,0.903566,1.314,69.2064,"Apr 9, 14",0.0096517792296842,2014,4,0.004484154600588684,0.010492771550439059,2.0
2014-04-10,69.6952,69.9001,68.7089,68.7496,59912818,8558974,-0.89831,-1.29,69.211,"Apr 10, 14",-0.0033704395778035,2014,4,0.011039351669343408,0.004959009627255005,2.0
2014-04-11,68.1612,68.6642,67.917,68.2414,67975012,9710716,-0.508253,-0.739,68.2792,"Apr 11, 14",-0.0107375681517379,2014,4,0.001516032885869743,0.0018283652886575104,3.0
2014-04-14,68.5421,68.5763,67.9262,68.5132,51445177,7349311,0.271855,0.398,68.2603,"Apr 14, 14",-0.0067974155614283,2014,4,0.003880721363461145,0.003502724067151788,2.0
2014-04-15,68.328,68.508,67.1539,68.0247,66622577,9517511,-0.488565,-0.713,67.8168,"Apr 15, 14",-0.013878962803394,2014,4,0.0025515541199528516,0.0004934368585628951,3.0
2014-04-16,68.0365,68.4357,67.5224,68.1626,53732994,7676142,0.137909,0.203,68.698,"Apr 16, 14",-0.0118798934796128,2014,4,0.0007418752246578352,0.001342936768623105,2.0
2014-04-17,68.2926,69.3117,68.1875,68.9414,71106721,10158103,0.778798,1.143,68.8375,"Apr 17, 14",-0.0005900081325445,2014,4,0.0023317852249495528,0.006140547573227061,3.0
2014-04-21,68.9939,69.8869,68.8127,69.7596,45668931,6524133,0.8182,1.187,69.5143,"Apr 21, 14",0.0112710398784612,2014,4,0.006685568447146481,0.01118087263784822,1.0
2014-04-22,69.3839,69.8457,69.1464,69.829,50664453,7237779,0.069473,0.1,69.5971,"Apr 22, 14",0.0122770979717925,2014,4,0.009106751188707575,0.01160839471006118,2.0
2014-04-23,69.4824,69.7543,68.877,68.9164,98735259,14105037,-0.912626,-1.307,70.9277,"Apr 23, 14",-0.0009524209903729,2014,4,0.009718255034973654,0.005986541063063828,4.0
2014-04-24,74.6241,74.8592,73.6417,74.5663,189978082,27139726,5.6499,8.198,74.3843,"Apr 24, 14",0.0809514352273995,2014,4,0.041638755810062544,0.04079139633390585,9.0
2014-04-25,74.1408,75.1205,74.0659,75.114,97568814,13938402,0.547654,0.734,74.6568,"Apr 25, 14",0.0888911761167027,2014,4,0.03863835165878953,0.04416537095856122,4.0
2014-04-28,75.2269,78.241,75.1941,78.023,167371680,23910240,2.909,3.873,77.1039,"Apr 28, 14",0.1310615362536077,2014,4,0.045381035185993394,0.06208556848115084,8.0
2014-04-29,77.977,78.2712,77.4215,77.7918,84344673,12049239,-0.231145,-0.296,78.9396,"Apr 29, 14",0.1277099421444112,2014,4,0.06245409841052459,0.06066131627516159,4.0
2014-04-30,77.8325,78.7243,77.4595,77.4976,114220883,16317269,-0.294184,-0.378,78.026,"Apr 30, 14",0.1234450676334875,2014,4,0.06155701916397178,0.05884896766356114,5.0
2014-05-01,77.7485,78.1162,77.0078,77.6802,61052418,8721774,0.18255,0.236,77.8182,"May 1, 14",0.1260921311470656,2014,5,0.061035533650404844,0.0599738312137931,2.0
2014-05-02,77.7931,78.0374,77.4477,77.8246,47878572,6839796,0.144466,0.186,77.7975,"May 2, 14",0.1281854278138821,2014,5,0.06131241762546535,0.06086337281649575,2.0
2014-05-05,77.5042,78.9305,77.4858,78.9252,71766758,10252394,1.1006,1.414,78.439,"May 5, 14",0.1441402914669168,2014,5,0.059518879948447415,0.06764335541992036,3.0
2014-05-06,79.0355,79.3783,78.065,78.065,93641373,13377339,-0.860223,-1.09,79.0306,"May 6, 14",0.1316703898547593,2014,5,0.0690254366975564,0.06234429941822502,4.0
